,level,short_name,long_name
ces,0,Total nonfarm,"All employees, thousands, total nonfarm"
ces:p,1,Total private,"All employees, thousands, total private"
ces:p:g,2,Goods-producing,"All employees, thousands, goods-producing"
ces:p:g:l,3,Mining & logging,"All employees, thousands, mining and logging"
ces:p:g:l:l,4,Logging,"All employees, thousands, logging"
ces:p:g:l:m,4,Mining,"All employees, thousands, mining"
ces:p:g:l:m:g,5,Oil & gas extraction,"All employees, thousands, oil and gas extraction"
ces:p:g:l:m:m,5,Mining ex. oil & gas extraction,"All employees, thousands, mining, except oil and gas"
ces:p:g:l:m:m:c,6,Coal mining,"All employees, thousands, coal mining"
ces:p:g:l:m:m:c:s,7,Coal mining (surface),"All employees, thousands, bituminous coal and lignite surface mining"
ces:p:g:l:m:m:c:u,7,Coal mining (underground),"All employees, thousands, bituminous coal underground mining and anthracite mining"
ces:p:g:l:m:m:m,6,Metal ore mining,"All employees, thousands, metal ore mining"
ces:p:g:l:m:m:n,6,Nonmetallic mineral mining,"All employees, thousands, nonmetallic mineral mining and quarrying"
ces:p:g:l:m:m:n:s,7,Stone mining,"All employees, thousands, stone mining and quarrying"
ces:p:g:l:m:m:n:s:l,8,Limestone mining,"All employees, thousands, crushed and broken limestone mining"
ces:p:g:l:m:m:n:s:o,8,Other stone mining,"All employees, thousands, other stone mining and quarrying"
ces:p:g:l:m:m:n:g,7,"Sand, gravel, etc. mining","All employees, thousands, sand, gravel, clay, and refractory mining"
ces:p:g:l:m:m:n:g:c,8,Constr. sand & mining,"All employees, thousands, construction sand and gravel mining"
ces:p:g:l:m:m:n:g:o,7,Misc. nonmetallic mining,"All employees, thousands, other nonmetallic mineral mining"
ces:p:g:l:m:m:s,6,Mining support,"All employees, thousands, support activities for mining"
ces:p:g:l:m:m:s:o,7,Oil & gas extraction support,"All employees, thousands, support activities for oil and gas operations"
ces:p:g:c,3,Construction,"All employees, thousands, construction"
ces:p:g:c:b,4,Building constr.,"All employees, thousands, construction of buildings"
ces:p:g:c:b:r,5,Res. building constr.,"All employees, thousands, residential building"
ces:p:g:c:b:r:s,6,New SF general contractors,"All employees, thousands, new single-family general contractors"
ces:p:g:c:b:r:m,6,New MF general contractors,"All employees, thousands, new multifamily general contractors"
ces:p:g:c:b:r:h,6,New housing operative builders,"All employees, thousands, new housing operative builders"
ces:p:g:c:b:r:r,6,Residential remodelers,"All employees, thousands, residential remodelers"
ces:p:g:c:b:n,5,Nonres. building constr.,"All employees, thousands, nonresidential building"
ces:p:g:c:b:n:i,6,Industrial constr.,"All employees, thousands, industrial building"
ces:p:g:c:b:n:c,6,Commercial constr.,"All employees, thousands, commercial building"
ces:p:g:c:h,4,Civil engr. constr.,"All employees, thousands, heavy and civil engineering construction"
ces:p:g:c:h:u,5,Utility constr,"All employees, thousands, utility system construction"
ces:p:g:c:h:u:w,6,Water & sewer constr.,"All employees, thousands, water and sewer system construction"
ces:p:g:c:h:u:o,6,Oil & gas pipeline constr.,"All employees, thousands, oil and gas pipeline construction"
ces:p:g:c:h:u:p,6,Power & comm. system constr.,"All employees, thousands, power and communication system construction"
ces:p:g:c:h:l,5,Land subdivision,"All employees, thousands, land subdivision"
ces:p:g:c:h:h,5,Highway & bridge constr.,"All employees, thousands, highway, street, and bridge construction"
ces:p:g:c:h:o,5,Misc. heavy constr.,"All employees, thousands, other heavy construction"
ces:p:g:c:s,4,Specialty trade contractors,"All employees, thousands, specialty trade contractors"
ces:p:g:c:s:r,5,Res. specialty trade contractors,"All employees, thousands, residential specialty trade contractors"
ces:p:g:c:s:n,5,Nonres. specialty trade contractors,"All employees, thousands, nonresidential specialty trade contractors"
ces:p:g:c:s:n:b,6,Foundation & exterior contractors,"All employees, thousands, building foundation and exterior contractors"
ces:p:g:c:s:n:b:c,7,Poured concrete structures,"All employees, thousands, poured concrete structure contractors"
ces:p:g:c:s:n:b:s,7,Steel & precast concrete,"All employees, thousands, steel and precast concrete contractors"
ces:p:g:c:s:n:b:f,7,Framing,"All employees, thousands, framing contractors"
ces:p:g:c:s:n:b:m,7,Masonry,"All employees, thousands, masonry contractors"
ces:p:g:c:s:n:b:g,7,Glass & glazing,"All employees, thousands, glass and glazing contractors"
ces:p:g:c:s:n:b:r,7,Roofing,"All employees, thousands, roofing contractors"
ces:p:g:c:s:n:b:b,7,Siding,"All employees, thousands, siding contractors"
ces:p:g:c:s:n:b:o,7,Other building exterior contractors,"All employees, thousands, other building exterior contractors"
ces:p:g:c:s:n:e,6,Building equip. contractors,"All employees, thousands, building equipment contractors"
ces:p:g:c:s:n:e:e,7,Electrical,"All employees, thousands, electrical contractors"
ces:p:g:c:s:n:e:p,7,Plumbing & HVAC,"All employees, thousands, plumbing and hvac contractors"
ces:p:g:c:s:n:e:o,7,Other building equip. contractors,"All employees, thousands, other building equipment contractors"
ces:p:g:c:s:n:f,6,Building finish contractors,"All employees, thousands, building finishing contractors"
ces:p:g:c:s:n:f:d,7,Drywall & insulation,"All employees, thousands, drywall and insulation contractors"
ces:p:g:c:s:n:f:p,7,Painting & wallpaper,"All employees, thousands, painting and wall covering contractors"
ces:p:g:c:s:n:f:f,7,Flooring,"All employees, thousands, flooring contractors"
ces:p:g:c:s:n:f:t,7,Tile & terrazzo,"All employees, thousands, tile and terrazzo contractors"
ces:p:g:c:s:n:f:c,7,Finish carpentry,"All employees, thousands, finish carpentry contractors"
ces:p:g:c:s:n:f:o,7,Other building finish contractors,"All employees, thousands, other building finishing contractors"
ces:p:g:c:s:o,5,Misc. specialty trade contractors,"All employees, thousands, other specialty trade contractors"
ces:p:g:c:s:o:p,6,Site prep contractors,"All employees, thousands, site preparation contractors"
ces:p:g:c:s:o:o,6,All other specialty trade contractors,"All employees, thousands, all other specialty trade contractors"
ces:p:g:m,3,Manufacturing,"All employees, thousands, manufacturing"
ces:p:g:m:d,4,Durable mfg.,"All employees, thousands, durable goods"
ces:p:g:m:d:w,5,Wood mfg.,"All employees, thousands, wood products"
ces:p:g:m:d:w:m,6,Sawmills & wood preservation,"All employees, thousands, sawmills and wood preservation"
ces:p:g:m:d:w:p,6,Plywood & engineered wood,"All employees, thousands, plywood and engineered wood products"
ces:p:g:m:d:w:o,6,Misc. wood products,"All employees, thousands, other wood products"
ces:p:g:m:d:w:o:m,7,Millwork,"All employees, thousands, millwork"
ces:p:g:m:d:w:o:w,7,Wood windows & doors,"All employees, thousands, wood windows and doors"
ces:p:g:m:d:w:o:c,7,Cut stock & other millwork,"All employees, thousands, cut stock, resawing lumber, planing, and other millwork, including flooring"
ces:p:g:m:d:w:o:p,7,Wood containers & pallets,"All employees, thousands, wood containers and pallets"
ces:p:g:m:d:w:o:o,7,All other wood products,"All employees, thousands, all other wood products"
ces:p:g:m:d:n,5,Nonmetallic mineral mfg.,"All employees, thousands, nonmetallic mineral products"
ces:p:g:m:d:n:r,6,Clay products,"All employees, thousands, clay products and refractories"
ces:p:g:m:d:n:g,6,Glass,"All employees, thousands, glass and glass products"
ces:p:g:m:d:n:g:f,7,Flat glass,"All employees, thousands, flat glass and other pressed and blown glass and glassware"
ces:p:g:m:d:n:g:c,7,Glass containers,"All employees, thousands, glass containers and products made of purchased glass"
ces:p:g:m:d:n:c,6,Cement & concrete,"All employees, thousands, cement and concrete products"
ces:p:g:m:d:n:c:r,7,Ready-mix concrete,"All employees, thousands, ready-mix concrete"
ces:p:g:m:d:n:c:o,7,Misc. cement & concrete,"All employees, thousands, other cement and concrete products"
ces:p:g:m:d:n:l,6,Lime & other nonmetallic products,"All employees, thousands, lime, gypsum, and other nonmetallic mineral products"
ces:p:g:m:d:p,5,Primary metal mfg.,"All employees, thousands, primary metals"
ces:p:g:m:d:p:i,6,Iron & steel mills,"All employees, thousands, iron and steel mills and ferroalloy production"
ces:p:g:m:d:p:s,6,Steel products,"All employees, thousands, steel products from purchased steel"
ces:p:g:m:d:p:a,6,Aluminum,"All employees, thousands, alumina and aluminum production"
ces:p:g:m:d:p:n,6,Other nonferrous metals,"All employees, thousands, other nonferrous metal production"
ces:p:g:m:d:p:f,6,Foundries,"All employees, thousands, foundries"
ces:p:g:m:d:p:f:f,7,Ferrous foundries,"All employees, thousands, ferrous metal foundries"
ces:p:g:m:d:p:f:n,7,Nonferrous foundries,"All employees, thousands, nonferrous metal foundries"
ces:p:g:m:d:m,5,Fabricated metal mfg.,"All employees, thousands, fabricated metal products"
ces:p:g:m:d:m:f,6,Forging & stamping,"All employees, thousands, forging and stamping"
ces:p:g:m:d:m:h,6,Cutlery.& hand tools,"All employees, thousands, cutlery and hand tools"
ces:p:g:m:d:m:s,6,Architectural & structural metals,"All employees, thousands, architectural and structural metals"
ces:p:g:m:d:m:s:p,7,Plate work products,"All employees, thousands, plate work and fabricated structural products"
ces:p:g:m:d:m:s:p:f,8,Fabricated structural metals,"All employees, thousands, fabricated structural metal products"
ces:p:g:m:d:m:s:p:p,8,Prefab. metal buildings.,"All employees, thousands, prefabricated metal buildings, components, and plate work"
ces:p:g:m:d:m:s:o,7,Ornamental metal products,"All employees, thousands, ornamental and architectural metal products"
ces:p:g:m:d:m:s:o:w,8,Metal windows & doors,"All employees, thousands, metal windows and doors"
ces:p:g:m:d:m:s:o:s,8,Sheet metal work,"All employees, thousands, sheet metal work"
ces:p:g:m:d:m:s:o:o,8,Ornamental metal work,"All employees, thousands, ornamental and architectural metal work"
ces:p:g:m:d:m:b,6,"Boilers, tanks, & shipping containers","All employees, thousands, boilers, tanks, and shipping containers"
ces:p:g:m:d:m:w,6,Hardware & wire products,"All employees, thousands, hardware, spring, and wire products"
ces:p:g:m:d:m:t,6,Machine shops & threaded products,"All employees, thousands, machine shops and threaded products"
ces:p:g:m:d:m:t:s,7,Machine shops,"All employees, thousands, machine shops"
ces:p:g:m:d:m:t:t,7,Threaded products,"All employees, thousands, turned products and screws, nuts, and bolts"
ces:p:g:m:d:m:e,6,"Coating, engraving, & heat treating metals","All employees, thousands, coating, engraving, and heat treating metals"
ces:p:g:m:d:m:e:m,7,Heat treating metals,"All employees, thousands, metal heat treating and coating and nonprecious engraving"
ces:p:g:m:d:m:e:e,7,Plating & coloring metals,"All employees, thousands, electroplating, anodizing, and coloring metals"
ces:p:g:m:d:m:o,6,Other. fabricated metal products,"All employees, thousands, other fabricated metal products"
ces:p:g:m:d:m:o:v,7,Metal valves,"All employees, thousands, metal valves"
ces:p:g:m:d:m:o:v:f,8,Fluid valves,"All employees, thousands, fluid power valves and hose fittings"
ces:p:g:m:d:m:o:v:o,8,All other metal valves,"All employees, thousands, all other metal valves"
ces:p:g:m:d:m:o:o,7,All other fab. metal products,"All employees, thousands, all other fabricated metal products"
ces:p:g:m:d:m:o:o:a,8,Small arms mfg.,"All employees, thousands, small arms, ammunition, and other ordnance and accessories"
ces:p:g:m:d:m:o:o:o,8,Misc. fab. metal products,"All employees, thousands, miscellaneous fabricated metal products and ball and roller bearings"
ces:p:g:m:d:h,5,Machinery mfg.,"All employees, thousands, machinery"
ces:p:g:m:d:h:a,6,"Agr., constr., & mining machinery mfg.","All employees, thousands, agricultural, construction, and mining machinery"
ces:p:g:m:d:h:a:a,7,Agr. machinery,"All employees, thousands, agricultural implements"
ces:p:g:m:d:h:a:c,7,Constr. machinery,"All employees, thousands, construction machinery"
ces:p:g:m:d:h:a:m,7,Mining machinery,"All employees, thousands, mining and oil and gas field machinery"
ces:p:g:m:d:h:i,6,Industrial machinery mfg.,"All employees, thousands, industrial machinery"
ces:p:g:m:d:h:c,6,Service industry machinery mfg.,"All employees, thousands, commercial and service industry machinery"
ces:p:g:m:d:h:h,6,HVAC equip. mfg.,"All employees, thousands, hvac and commercial refrigeration equipment"
ces:p:g:m:d:h:h:r,7,AC equip,"All employees, thousands, ac, refrigeration, and forced air heating"
ces:p:g:m:d:h:m,6,Metalworking machinery mfg.,"All employees, thousands, metalworking machinery"
ces:p:g:m:d:h:m:m,7,Metal molds,"All employees, thousands, industrial molds"
ces:p:g:m:d:h:m:s,7,"Tools, dies, jigs, & fixtures","All employees, thousands, special tools, dies, jigs, and fixtures"
ces:p:g:m:d:h:m:t,7,Machine tools,"All employees, thousands, machine tool manufacturing"
ces:p:g:m:d:h:m:o,7,Misc. metalworking,"All employees, thousands, miscellaneous metalworking machinery"
ces:p:g:m:d:h:t,6,Power transmission equip. mfg.,"All employees, thousands, turbine and power transmission equipment"
ces:p:g:m:d:h:o,6,Misc. machinery mfg.,"All employees, thousands, other general purpose machinery"
ces:p:g:m:d:h:o:p,7,Pumps & compressors,"All employees, thousands, pumps and compressors"
ces:p:g:m:d:h:o:m,7,Material handling equip.,"All employees, thousands, material handling equipment"
ces:p:g:m:d:h:o:o,7,All other machinery mfg.,"All employees, thousands, all other general purpose machinery"
ces:p:g:m:d:c,5,Computer & electronics mfg.,"All employees, thousands, computer and electronic products"
ces:p:g:m:d:c:p,6,Computer mfg.,"All employees, thousands, computer and peripheral equipment"
ces:p:g:m:d:c:c,6,Comm. equip. mfg.,"All employees, thousands, communications equipment"
ces:p:g:m:d:c:c:b,7,Broadcast equip. mfg.,"All employees, thousands, broadcast and wireless communications equipment"
ces:p:g:m:d:c:s,6,Semiconductor & electronics mfg.,"All employees, thousands, semiconductors and electronic components"
ces:p:g:m:d:c:s:b,7,Circuit boards,"All employees, thousands, bare printed circuit boards"
ces:p:g:m:d:c:s:s,7,"Semiconductors, etc.","All employees, thousands, semiconductors and related devices"
ces:p:g:m:d:c:s:p,7,Printed circuit assemblies,"All employees, thousands, printed circuit assemblies"
ces:p:g:m:d:c:s:c,7,Electronic connectors,"All employees, thousands, electronic connectors and misc. electronic components"
ces:p:g:m:d:c:i,6,Electronic instruments mfg.,"All employees, thousands, electronic instruments"
ces:p:g:m:d:c:i:m,7,Electromedical equip.,"All employees, thousands, electromedical apparatus"
ces:p:g:m:d:c:i:m:s,8,Search & navigation instruments,"All employees, thousands, search, detection, and navigation instruments"
ces:p:g:m:d:c:i:m:p,8,Industrial process instruments,"All employees, thousands, industrial process variable instruments"
ces:p:g:m:d:c:i:m:e,8,Signal testing instruments,"All employees, thousands, electricity and signal testing instruments"
ces:p:g:m:d:c:i:o,7,Misc. electronic instruments,"All employees, thousands, miscellaneous electronic instruments"
ces:p:g:m:d:c:o,6,Misc. electronics mfg.,"All employees, thousands, miscellaneous computer and electronic products"
ces:p:g:m:d:e,5,Electrical equip mfg.,"All employees, thousands, electrical equipment and appliances"
ces:p:g:m:d:e:l,6,Lighting mfg.,"All employees, thousands, electric lighting equipment"
ces:p:g:m:d:e:a,6,HH appliance mfg.,"All employees, thousands, household appliances"
ces:p:g:m:d:e:e,6,Electrical equip. mfg.,"All employees, thousands, electrical equipment"
ces:p:g:m:d:e:e:p,7,Electric power & transformers,"All employees, thousands, electric power and specialty transformers"
ces:p:g:m:d:e:e:g,7,Motors & switchboard controls,"All employees, thousands, motors and generators, switchgears and switchboard apparatus, and relay and industrial controls"
ces:p:g:m:d:e:o,6,Other electrical equip. mfg.,"All employees, thousands, other electrical equipment and components"
ces:p:g:m:d:e:o:b,7,Batteries,"All employees, thousands, batteries"
ces:p:g:m:d:e:o:w,7,Wiring devices,"All employees, thousands, wiring devices"
ces:p:g:m:d:e:o:o,7,All other electrical equip.,"All employees, thousands, all other electrical equipment and components"
ces:p:g:m:d:t,5,Transport equip. mfg.,"All employees, thousands, transportation equipment"
ces:p:g:m:d:t:v,6,Vehicles & parts mfg.,"All employees, thousands, motor vehicles and parts"
ces:p:g:m:d:t:v:m,7,Vehicles mfg.,"All employees, thousands, motor vehicles"
ces:p:g:m:d:t:v:m:a,8,Automobiles,"All employees, thousands, automobiles"
ces:p:g:m:d:t:v:v,7,Vehicle bodies & trailers mfg.,"All employees, thousands, motor vehicle bodies and trailers"
ces:p:g:m:d:t:v:v:b,8,Vehicle bodies,"All employees, thousands, motor vehicle bodies"
ces:p:g:m:d:t:v:v:h,8,"Trailers, motor homes, & campers","All employees, thousands, truck trailers, motor homes, travel trailers, and campers"
ces:p:g:m:d:t:v:v:p,7,Vehicle parts mfg.,"All employees, thousands, motor vehicle parts"
ces:p:g:m:d:t:v:v:g,8,Vehicle gas engine,"All employees, thousands, motor vehicle gasoline engine and parts"
ces:p:g:m:d:t:v:v:e,8,Vehicle electrical equip.,"All employees, thousands, motor vehicle electric equipment"
ces:p:g:m:d:t:v:v:s,8,Vehicle steering & suspension,"All employees, thousands, motor vehicle steering and suspension parts"
ces:p:g:m:d:t:v:v:t,8,Vehicle power train,"All employees, thousands, motor vehicle power train components"
ces:p:g:m:d:t:v:v:i,8,Vehicle seating & interior,"All employees, thousands, motor vehicle seating and interior trim"
ces:p:g:m:d:t:v:v:m,8,Vehicle metal stamping,"All employees, thousands, motor vehicle metal stamping"
ces:p:g:m:d:t:v:v:o,8,All other vehicle parts,"All employees, thousands, all other motor vehicle parts"
ces:p:g:m:d:t:v:a,7,Aerospace products & parts mfg.,"All employees, thousands, aerospace products and parts"
ces:p:g:m:d:t:v:a:a,8,Aircraft,"All employees, thousands, aircraft"
ces:p:g:m:d:t:v:a:e,8,Aircraft engines & parts,"All employees, thousands, aircraft engines and engine parts"
ces:p:g:m:d:t:v:a:p,8,Other aircraft parts,"All employees, thousands, other aircraft parts and equipment"
ces:p:g:m:d:t:v:a:m,8,Guided missiles & space vehicles,"All employees, thousands, guided missiles, space vehicles, and parts"
ces:p:g:m:d:t:v:s,7,Ships & boats mfg.,"All employees, thousands, ship and boat building"
ces:p:g:m:d:t:v:s:c,8,Ship building & repair,"All employees, thousands, ship building and repairing"
ces:p:g:m:d:t:v:s:b,8,Boat building,"All employees, thousands, boat building"
ces:p:g:m:d:t:v:r,7,Railroad & other transport mfg.,"All employees, thousands, railroad rolling stock and other transportation equipment"
ces:p:g:m:d:f,5,Furniture mfg.,"All employees, thousands, furniture and related products"
ces:p:g:m:d:f:h,6,HH & institutional furniture mfg.,"All employees, thousands, household and institutional furniture"
ces:p:g:m:d:f:h:w,7,Wood kitchen cabinets & counters,"All employees, thousands, wood kitchen cabinets and countertops"
ces:p:g:m:d:f:h:o,7,Other HH & institutional furniture,"All employees, thousands, other household and institutional furniture"
ces:p:g:m:d:f:h:o:u,8,Upholstered HH furniture,"All employees, thousands, upholstered household furniture"
ces:p:g:m:d:f:h:o:m,8,Nonupholstered HH furniture,"All employees, thousands, nonupholstered wood household furniture"
ces:p:g:m:d:f:h:o:o,8,Misc. HH & institutional furniture,"All employees, thousands, miscellaneous household and institutional furniture"
ces:p:g:m:d:f:w,6,Office furniture mfg.,"All employees, thousands, office furniture and fixtures"
ces:p:g:m:d:f:w:f,7,Office furniture,"All employees, thousands, office furniture and custom architectural woodwork and millwork"
ces:p:g:m:d:f:w:s,7,"Showcases, partitions, & shelving","All employees, thousands, showcases, partitions, shelving, and lockers"
ces:p:g:m:d:f:o,6,Other furniture mfg.,"All employees, thousands, other furniture-related products"
ces:p:g:m:d:o,5,Misc. durable mfg.,"All employees, thousands, miscellaneous durable goods manufacturing"
ces:p:g:m:d:o:m,6,Medical equip. mfg.,"All employees, thousands, medical equipment and supplies"
ces:p:g:m:d:o:m:i,7,Surgical & medical equip.,"All employees, thousands, surgical and medical instruments"
ces:p:g:m:d:o:m:a,7,Surgical appliances,"All employees, thousands, surgical appliances and supplies"
ces:p:g:m:d:o:m:d,7,Dental labs,"All employees, thousands, dental laboratories"
ces:p:g:m:d:o:o,6,Other durables mfg.,"All employees, thousands, other miscellaneous durable goods manufacturing"
ces:p:g:m:d:o:o:j,7,Jewelry & silverware,"All employees, thousands, jewelry and silverware"
ces:p:g:m:d:o:o:a,7,Sporting goods,"All employees, thousands, sporting and athletic goods"
ces:p:g:m:d:o:o:s,7,Signs,"All employees, thousands, signs"
ces:p:g:m:d:o:o:o,7,All other misc. durables,"All employees, thousands, all other miscellaneous durable goods manufacturing"
ces:p:g:m:n,4,Nondurable mfg.,"All employees, thousands, nondurable goods"
ces:p:g:m:n:f,5,Food mfg.,"All employees, thousands, food manufacturing"
ces:p:g:m:n:f:a,6,Animal food mfg.,"All employees, thousands, animal food"
ces:p:g:m:n:f:g,6,Grain mfg.,"All employees, thousands, grain and oilseed milling"
ces:p:g:m:n:f:g:f,7,"Flour milling, vegetable oil","All employees, thousands, flour milling, malt, starch, and vegetable oil"
ces:p:g:m:n:f:g:c,7,Breakfast cereal,"All employees, thousands, breakfast cereal"
ces:p:g:m:n:f:s,6,Sugar mfg.,"All employees, thousands, sugar and confectionery products"
ces:p:g:m:n:f:s:c,7,Chocolate,"All employees, thousands, chocolate and confectionery manufacturing"
ces:p:g:m:n:f:f,6,Fruit & veg. preserving,"All employees, thousands, fruit and vegetable preserving and specialty"
ces:p:g:m:n:f:f:f,7,Frozen food,"All employees, thousands, frozen food"
ces:p:g:m:n:f:f:f:f,8,Frozen fruits & vegs.,"All employees, thousands, frozen fruits and vegetables"
ces:p:g:m:n:f:f:f:s,8,Frozen specialty food,"All employees, thousands, frozen specialty food"
ces:p:g:m:n:f:f:c,7,Fruit & veg. canning,"All employees, thousands, fruit and vegetable canning and drying"
ces:p:g:m:n:f:d,6,Dairy mfg.,"All employees, thousands, dairy products"
ces:p:g:m:n:f:d:f,7,Milk,"All employees, thousands, fluid milk"
ces:p:g:m:n:f:k,6,Animal processing,"All employees, thousands, animal slaughtering and processing"
ces:p:g:m:n:f:k:a,7,Meat processing ex. poultry,"All employees, thousands, animal, except poultry, slaughtering"
ces:p:g:m:n:f:k:m,7,Meat byproduct processing,"All employees, thousands, meat processed from carcasses, and rendering and meat byproduct processing"
ces:p:g:m:n:f:k:p,7,Poultry processing,"All employees, thousands, poultry processing"
ces:p:g:m:n:f:p,6,Seafood mfg.,"All employees, thousands, seafood product preparation and packaging"
ces:p:g:m:n:f:b,6,Baked goods mfg.,"All employees, thousands, bakeries and tortilla manufacturing"
ces:p:g:m:n:f:b:b,7,Bread & baked goods,"All employees, thousands, bread and bakery products"
ces:p:g:m:n:f:b:b:r,8,Retail bakeries,"All employees, thousands, retail bakeries"
ces:p:g:m:n:f:b:b:c,8,Commercial bakeries,"All employees, thousands, commercial bakeries and frozen cakes and other pastry products"
ces:p:g:m:n:f:b:c,7,"Cookies, crackers, etc.","All employees, thousands, cookies, crackers, pasta, and tortillas"
ces:p:g:m:n:f:o,6,Other baked goods,"All employees, thousands, other food products"
ces:p:g:m:n:f:o:s,7,Snack food,"All employees, thousands, snack food"
ces:p:g:m:n:f:o:o,7,Misc. baked goods,"All employees, thousands, miscellaneous food products"
ces:p:g:m:n:t,5,Textile mfg.,"All employees, thousands, textile mills"
ces:p:g:m:n:t:f,6,Fabric mfg.,"All employees, thousands, fabric mills"
ces:p:g:m:n:m,5,Textile product mfg.,"All employees, thousands, textile product mills"
ces:p:g:m:n:m:t,6,Textile furnishing mfg.,"All employees, thousands, textile furnishings mills"
ces:p:g:m:n:m:o,6,Other textile mfg.,"All employees, thousands, other textile product mills"
ces:p:g:m:n:m:o:b,7,Textile bag & canvases,"All employees, thousands, textile bag and canvas mills"
ces:p:g:m:n:m:o:o,7,Misc. textile mfg.,"All employees, thousands, all other textile product mills"
ces:p:g:m:n:a,5,Apparel mfg.,"All employees, thousands, apparel"
ces:p:g:m:n:a:c,6,Cut & sew apparel mfg. ex. contractors,"All employees, thousands, cut and sew apparel, except contractors"
ces:p:g:m:n:p,5,Paper & paper products mfg.,"All employees, thousands, paper and paper products"
ces:p:g:m:n:p:m,6,"Pulp, paper, & paperboard mfg.","All employees, thousands, pulp, paper, and paperboard mills"
ces:p:g:m:n:p:m:p,7,Pulp & paper mills,"All employees, thousands, pulp mills and paper mills"
ces:p:g:m:n:p:m:b,7,Paperboard mills,"All employees, thousands, paperboard mills"
ces:p:g:m:n:p:p,6,Converted paper products mfg.,"All employees, thousands, converted paper products"
ces:p:g:m:n:p:p:c,7,Paperboard containers,"All employees, thousands, paperboard containers"
ces:p:g:m:n:p:p:c:b,8,Corrugated & fiber boxes,"All employees, thousands, corrugated and solid fiber boxes"
ces:p:g:m:n:p:p:c:f,8,Folding paper boxes,"All employees, thousands, folding boxes and miscellaneous paperboard containers"
ces:p:g:m:n:p:p:b,7,Paper bags & treated paper,"All employees, thousands, paper bags and coated and treated paper"
ces:p:g:m:n:p:p:s,7,Stationary & misc. converted paper,"All employees, thousands, stationery and other converted paper products"
ces:p:g:m:n:s,5,Printing & etc. mfg.,"All employees, thousands, printing and related support activities"
ces:p:g:m:n:s:c,6,Commercial printing ex. screen,"All employees, thousands, commercial printing, except screen"
ces:p:g:m:n:e,5,Petrol & coal product mfg.,"All employees, thousands, petroleum and coal products"
ces:p:g:m:n:e:r,6,Petroleum refineries,"All employees, thousands, petroleum refineries"
ces:p:g:m:n:e:p,6,Asphalt & other petrol & coal products mfg.,"All employees, thousands, asphalt paving and roofing materials and other petroleum and coal products"
ces:p:g:m:n:c,5,Chemicals mfg.,"All employees, thousands, chemicals"
ces:p:g:m:n:c:b,6,Basic chemicals mfg.,"All employees, thousands, basic chemicals"
ces:p:g:m:n:c:b:p,7,Petrochemicals,"All employees, thousands, petrochemicals, industrial gases, synthetic dyes, and pigments"
ces:p:g:m:n:c:b:i,7,Basic inorganic chemicals,"All employees, thousands, other basic inorganic chemicals"
ces:p:g:m:n:c:b:o,7,Basic organic chemicals,"All employees, thousands, other basic organic chemicals"
ces:p:g:m:n:c:r,6,Resin & rubber mfg.,"All employees, thousands, resin, rubber, and artificial fibers"
ces:p:g:m:n:c:r:p,7,Plastics material,"All employees, thousands, plastics material and resin"
ces:p:g:m:n:c:a,6,Agr. chemicals mfg.,"All employees, thousands, agricultural chemicals"
ces:p:g:m:n:c:m,6,Pharmaceutical chemicals mfg.,"All employees, thousands, pharmaceuticals and medicines"
ces:p:g:m:n:c:m:p,7,Pharmaceutical prep,"All employees, thousands, pharmaceutical preparations"
ces:p:g:m:n:c:m:o,7,Misc. medicinal chemicals,"All employees, thousands, miscellaneous medicinal and biological products"
ces:p:g:m:n:c:p,6,Paints & adhesives chemicals mfg.,"All employees, thousands, paints, coatings, and adhesives"
ces:p:g:m:n:c:s,6,Soap chemicals mfg.,"All employees, thousands, soaps, cleaning compounds, and toiletries"
ces:p:g:m:n:c:s:c,7,Soaps & cleaning compounds,"All employees, thousands, soaps and cleaning compounds"
ces:p:g:m:n:c:s:t,7,Toilet prep,"All employees, thousands, toilet preparations"
ces:p:g:m:n:c:o,6,Misc. chemicals mfg.,"All employees, thousands, other chemical products and preparations"
ces:p:g:m:n:r,5,Plastics & rubber mfg.,"All employees, thousands, plastics and rubber products"
ces:p:g:m:n:r:p,6,Plastic products mfg.,"All employees, thousands, plastics products"
ces:p:g:m:n:r:p:p,7,Plastic packaging,"All employees, thousands, plastics packaging materials, film, and sheet"
ces:p:g:m:n:r:p:p:n,8,Nonpacking plastic sheets,"All employees, thousands, nonpackaging plastics film and sheet"
ces:p:g:m:n:r:p:t,7,Plastic pipes,"All employees, thousands, plastics pipe, fittings, and profile shapes"
ces:p:g:m:n:r:p:f,7,Foam products,"All employees, thousands, foam products"
ces:p:g:m:n:r:p:b,7,Plastic bottles & laminates,"All employees, thousands, plastics bottles and laminated plastics plate, sheet, and shapes"
ces:p:g:m:n:r:p:o,7,Misc. plastic products mfg.,"All employees, thousands, other plastics products"
ces:p:g:m:n:r:r,6,Rubber products mfg.,"All employees, thousands, rubber products"
ces:p:g:m:n:r:r:t,7,Tires,"All employees, thousands, tires"
ces:p:g:m:n:r:r:o,7,Rubber products ex. tires,"All employees, thousands, all other rubber products"
ces:p:g:m:n:o,5,Misc. nondurable mfg.,"All employees, thousands, miscellaneous nondurable goods manufacturing"
ces:p:g:m:n:o:b,6,Beverages mfg.,"All employees, thousands, beverages"
ces:p:g:m:n:o:b:s,7,Soft drinks & ice,"All employees, thousands, soft drinks and ice"
